"id","apelido","clube_id","posicao_id"
37958,"Felipe",262,1
68873,"Paulo Victor",262,1
78086,"César",262,1
85798,"João Paulo Kuspiosz",262,1
89258,"Daniel",262,1
60795,"Renan",263,1
38109,"Jefferson",263,1
78604,"Andrey",263,1
89492,"Saulo",263,1
79973,"Helton Leite",263,1
51413,"Walter",264,1
42234,"Cássio",264,1
69051,"Danilo Fernandes",264,1
80286,"Matheus Vidotto",264,1
38133,"Julio Cesar",264,1
88867,"Guido",265,1
73517,"Douglas Pires",265,1
79265,"Renan",265,1
71102,"Omar",265,1
68872,"Marcelo Lomba",265,1
68884,"Klever",266,1
42330,"Felipe Garcia",266,1
49673,"Júlio César",266,1
85004,"Marcos Felipe ",266,1
38431,"Diego Cavalieri",266,1
62003,"Bruno",275,1
72290,"Jailson",275,1
68914,"Deola",275,1
85083,"Vinícius Silvestre",275,1
38140,"Fernando Prass",275,1
70951,"Fabio",275,1
68932,"Renan Ribeiro",276,1
51175,"Denis",276,1
38055,"Rogério Ceni",276,1
69040,"Vladimir",277,1
78839,"Gabriel Gasparotto",277,1
85425,"João Paulo",277,1
37984,"Aranha",277,1
68979,"Giovanni",282,1
52950,"Victor",282,1
85418,"Uilson",282,1
69183,"Lee",282,1
89975,"Rodolfo",282,1
37656,"Fábio",283,1
68928,"Rafael",283,1
79048,"Elisson",283,1
82769,"Alan",283,1
87611,"Tiago",284,1
37770,"Marcelo Grohe",284,1
72488,"Follmann ",284,1
87008,"Léo",284,1
69180,"Busatto",284,1
82896,"Alisson Becker",285,1
71724,"Agenor",285,1
36443,"Dida",285,1
69041,"Muriel",285,1
85066,"Guillermo ",287,1
71571,"Fernando",287,1
50284,"Wilson",287,1
74061,"Roberto Fernández",287,1
70216,"Gustavo",287,1
63034,"Douglas",287,1
37767,"Galatto",288,1
38038,"Luiz",288,1
77556,"Bruno",288,1
86928,"David",288,1
86929,"Ronaldo",288,1
82928,"Edson",288,1
89897,"Ronaldo",288,1
37899,"Renan",290,1
50461,"Edson",290,1
88147,"Paulo Henrique",290,1
37749,"Harlei",290,1
41218,"Magrão",292,1
86517,"Flavio",292,1
74096,"Saulo",292,1
69012,"Santos",293,1
71631,"Weverton",293,1
63082,"Rodolfo",293,1
62101,"Renan Rocha",293,1
86760,"Lucas Macanhan",293,1
80192,"Hugo Gumiero",293,1
62121,"Vanderlei",294,1
79535,"Vaná",294,1
86449,"Samuel",294,1
73336,"Rafael Martins",294,1
82453,"Tadeu",294,1
72603,"William Menezes",294,1
82768,"Danilo",315,1
40130,"Silvio",315,1
87199,"Gustavo ",315,1
52897,"Nivaldo",315,1
37659,"Lauro",315,1
88916,"Luan Polli ",316,1
68805,"Neneca",316,1
77912,"Neto",316,1
88156,"Jean",316,1
72018,"Tiago Volpi",316,1
82419,"Luan Sérgio",316,1
79066,"Alex ",316,1
88848,"Júnior Oliveira",316,1
71602,"João Paulo",262,2
50453,"Anderson Pico",262,2
88065,"Jorge",262,2
69177,"Léo",262,2
37701,"Léo Moura",262,2
38184,"André Santos",262,2
78647,"Digão",262,2
86314,"Alex Santos",263,2
86315,"Anderson Santos",263,2
73869,"Lennon",263,2
78436,"Renan Lemos",263,2
68995,"Régis Souza",263,2
71947,"Guilherme",263,2
37621,"Junior Cesar",263,2
50362,"Lucas",263,2
38523,"Edílson",263,2
37663,"Julio Cesar",263,2
42500,"Fagner",264,2
60852,"Uendel",264,2
38229,"Fábio Santos",264,2
63018,"Guilherme Andrade",264,2
87228,"Guilherme Arana",264,2
80163,"Railan",265,2
69209,"Diego Macedo",265,2
50346,"Guilherme Santos",265,2
51781,"Ávine",265,2
87213,"Pará",265,2
73359,"Roniery",265,2
68821,"Rafael Galhardo",265,2
78077,"Madson",265,2
84379,"Raul",265,2
42499,"Bruno",266,2
85424,"Ailton",266,2
86444,"Pablo Dyego",266,2
39572,"Renato",266,2
38451,"Carlinhos",266,2
89257,"Breno",266,2
80667,"Fernando",266,2
82641,"Ronan",266,2
86410,"Victor Luis",275,2
89273,"João Pedro ",275,2
63119,"Juninho",275,2
88874,"Léo Cunha",275,2
38432,"Wendel",275,2
72375,"Weldinho",275,2
89157,"Guilherme",275,2
89681,"Mateus Muller",275,2
77827,"Bruno Oliveira",275,2
