"id","apelido","clube_id","posicao_id"
68873,"Paulo Victor",262.0,1
78086,"César",262.0,1
89258,"Daniel",262.0,1
42234,"Cássio",264.0,1
51413,"Walter",264.0,1
79535,"Vaná",264.0,1
77556,"Bruno",264.0,1
90297,"Guilherme",264.0,1
91808,"Caique",264.0,1
80286,"Matheus Vidotto",264.0,1
73336,"Rafael Martins",264.0,1
72603,"William Menezes",264.0,1
86449,"Samuel",264.0,1
38431,"Diego Cavalieri",266.0,1
68884,"Klever",266.0,1
49673,"Júlio César",266.0,1
85004,"Marcos Felipe ",266.0,1
73074,"Rafael Copetti ",267.0,1
69249,"Martín Silva",267.0,1
86776,"Jordi",267.0,1
74067,"Charles ",267.0,1
38140,"Fernando Prass",275.0,1
37984,"Aranha",275.0,1
70951,"Fabio",275.0,1
85083,"Vinícius Silvestre",275.0,1
72290,"Jailson",275.0,1
38055,"Rogério Ceni",276.0,1
51175,"Denis",276.0,1
68932,"Renan Ribeiro",276.0,1
71043,"Leo",276.0,1
91260,"Lucas Perri",276.0,1
62121,"Vanderlei",277.0,1
69040,"Vladimir",277.0,1
78839,"Gabriel Gasparotto",277.0,1
85425,"João Paulo",277.0,1
52950,"Victor",282.0,1
68979,"Giovanni",282.0,1
85418,"Uilson",282.0,1
37656,"Fábio",283.0,1
68928,"Rafael",283.0,1
79048,"Elisson",283.0,1
82769,"Alan",283.0,1
37770,"Marcelo Grohe",284.0,1
87611,"Tiago",284.0,1
71818,"Bruno Grassi",284.0,1
90331,"Vitor",284.0,1
87008,"Léo",284.0,1
82896,"Alisson Becker",285.0,1
36443,"Dida",285.0,1
69041,"Muriel",285.0,1
37899,"Renan",290.0,1
88147,"Paulo Henrique",290.0,1
41218,"Magrão",292.0,1
69051,"Danilo Fernandes",292.0,1
88430,"Luiz Carlos ",292.0,1
71631,"Weverton",293.0,1
69012,"Santos",293.0,1
80192,"Hugo Gumiero",293.0,1
80276,"Alexandre Cajuru",293.0,1
86760,"Lucas Macanhan",293.0,1
68872,"Marcelo Lomba",303.0,1
80394,"Matheus Inácio",303.0,1
88136,"Ivan",303.0,1
69010,"João Carlos",303.0,1
71971,"Reynaldo ",303.0,1
78151,"Vagner",314.0,1
37695,"Diego",314.0,1
81094,"Vítor",314.0,1
82768,"Danilo",315.0,1
52897,"Nivaldo",315.0,1
40130,"Silvio",315.0,1
71601,"João Paulo",315.0,1
91099,"Willian ",315.0,1
37958,"Felipe",316.0,1
79066,"Alex ",316.0,1
88916,"Luan Polli ",316.0,1
88848,"Júnior",316.0,1
72731,"Oliveira",317.0,1
71724,"Agenor",317.0,1
80328,"Jhonatan",317.0,1
80335,"Vitor",317.0,1
90317,"Matheus",317.0,1
91194,"Thiago","",1
91710,"Jacsson","",1
73889,"Wallace","",1
91712,"Matheus Alves","",1
92057,"Gabriel Félix","",1
50284,"Wilson","",1
63082,"Rodolfo","",1
87266,"Duda","",1
92438,"Matheus Phillipe","",1
89975,"Rodolfo","",1
68693,"Armero",262.0,2
62086,"Pará",262.0,2
50453,"Anderson Pico",262.0,2
88065,"Jorge",262.0,2
81219,"Thallyson",262.0,2
38229,"Fábio Santos",264.0,2
42500,"Fagner",264.0,2
63194,"Carlinhos",264.0,2
80374,"Norberto ",264.0,2
60852,"Uendel",264.0,2
38523,"Edílson",264.0,2
73644,"Ivan",264.0,2
63018,"Guilherme Andrade",264.0,2
91388,"Rodrigo Ramos",264.0,2
79401,"Paulo Otávio",264.0,2
71892,"Wellington Silva",266.0,2
72097,"Giovanni",266.0,2
39572,"Renato",266.0,2
85626,"Leonardo",266.0,2
82641,"Ronan",266.0,2
78077,"Madson",267.0,2
84893,"Henrique ",267.0,2
82499,"Christiano ",267.0,2
87750,"Lorran",267.0,2
38446,"Nei",267.0,2
37663,"Julio Cesar",267.0,2
83867,"Erick Daltro",267.0,2
36612,"Zé Roberto",275.0,2
42145,"Egídio",275.0,2
50362,"Lucas",275.0,2
71602,"João Paulo",275.0,2
89273,"João Pedro ",275.0,2
72334,"Ayrton",275.0,2
38451,"Carlinhos",276.0,2
42499,"Bruno",276.0,2
78850,"Reinaldo",276.0,2
88540,"Auro",276.0,2
68711,"Chiquinho",277.0,2
70046,"Victor Ferraz",277.0,2
61106,"Cicinho",277.0,2
89342,"Caju",277.0,2
88225,"Daniel Guedes ",277.0,2
87192,"Zeca",277.0,2
72529,"Crystian",277.0,2
63013,"Marcos Rocha",282.0,2
60969,"Patric",282.0,2
79826,"Douglas Santos",282.0,2
61211,"Carlos Cesar",282.0,2
51779,"Pedro Botelho",282.0,2
77895,"Emerson Conceição",282.0,2
81150,"Mayke",283.0,2
49674,"Fabrício",283.0,2
37790,"Ceará",283.0,2
77967,"Mena",283.0,2
79887,"Fabiano",283.0,2
87213,"Pará",283.0,2
86411,"Breno",283.0,2
50328,"Marcelo Oliveira",284.0,2
69090,"Matías Rodríguez",284.0,2
68821,"Rafael Galhardo",284.0,2
89343,"Júnior",284.0,2
82639,"Marcelo Hermes",284.0,2
90304,"Tinga",284.0,2
90531,"Raul",284.0,2
85882,"Diogo",285.0,2
74074,"Claudio Winck",285.0,2
69177,"Léo",285.0,2
63110,"Alan Ruschel",285.0,2
85591,"Artur",285.0,2
89275,"William",285.0,2
89976,"Geferson",285.0,2
70916,"Diogo Goiano",290.0,2
82764,"Rafael Forster",290.0,2
89606,"Felipe Saturnino",290.0,2
71037,"Clayton Sales",290.0,2
90916,"Everton",290.0,2
87265,"Bocão",290.0,2
78445,"Renê",292.0,2
68904,"Vítor",292.0,2
84861,"Alex Silva",292.0,2
91001,"Evandro",292.0,2
73384,"Samuel Xavier",292.0,2
91387,"Sinho",292.0,2
86264,"Natanael",293.0,2
50645,"Eduardo",293.0,2
73318,"Daniel Borges",293.0,2
86409,"Lucas Olaza",293.0,2
86771,"Luiz Paulo ",293.0,2
87228,"Guilherme Arana",293.0,2
82943,"Matheus Ribeiro",293.0,2
91842,"Breno",293.0,2
82457,"Jean Felipe",293.0,2
38043,"Alessandro",293.0,2
62997,"João Paulo",303.0,2
82525,"Rodrigo Biro",303.0,2
52674,"Gilson",303.0,2
73992,"Rodinei",303.0,2
86615,"Malcoon",303.0,2
84917,"Jeferson",303.0,2
87601,"Junio ",303.0,2
60794,"Pablo",314.0,2
68808,"Nino Paraíba",314.0,2
80323,"Marrone",314.0,2
50346,"Guilherme Santos",314.0,2
73527,"Willian Rocha",314.0,2
42474,"Eltinho",314.0,2
86391,"Sander",314.0,2
62976,"Everton Silva",314.0,2
80975,"Romário ",314.0,2
91888,"Kevin ",314.0,2
51042,"Apodi",315.0,2
69782,"Dener Assunção",315.0,2
83760,"Caramelo",315.0,2
90777,"Michel",315.0,2
90939,"Wesley",315.0,2
90291,"Pedro",315.0,2
69329,"Cereceda",316.0,2
77529,"Leandro Silva",316.0,2
80553,"Guilherme Lazaroni",316.0,2
80552,"Marquinhos Pedroso",316.0,2
73618,"Léo Rodrigues",316.0,2
89977,"Bruno Santos",316.0,2
83811,"William Cordeiro",316.0,2
72023,"Sueliton",317.0,2
61241,"Wellington Saci",317.0,2
73879,"Rogério",317.0,2
70915,"Luis Felipe",317.0,2
69015,"Heracles",317.0,2
87399,"Mário Sérgio",317.0,2
90318,"Joãozinho",317.0,2
71885,"Tiago Costa","",2
87754,"Diego","",2
87486,"Matheus","",2
73890,"Mário Sérgio","",2
86783,"Henrique","",2
82775,"Lucas Ramon ","",2
82636,"Jefferson Recife","",2
87482,"Gimenez","",2
86764,"Sidcley","",2
92094,"Diogo Vitor","",2
82128,"Ferrugem","",2
79646,"Bruno Pereirinha","",2
78497,"Arnaldo","",2
86509,"Ebert","",2
37705,"Juan","",2
92293,"Lucas Taylor ","",2
79553,"Mansur","",2
51869,"Edson Ratinho","",2
71116,"Roberto","",2
92501,"Lucas Lovat","",2
89641,"Bruno Ferreira","",2
42225,"Eusébio","",2
92618,"Wesley","",2
92661,"Oliveira","",2
37662,"Jonathan","",2
42236,"Bruno Teles","",2
80338,"Tony ","",2
92848,"Breno Santos","",2
92189,"Samuel ","",2
88393,"Ayrton ","",2
68958,"Wallace",262.0,3
84318,"Samir ",262.0,3
72491,"Bressan",262.0,3
78895,"Marcelo",262.0,3
74103,"Frauches ",262.0,3
68923,"Gil",264.0,3
50462,"Leandro Almeida",264.0,3
73465,"Luccas Claro",264.0,3
73375,"Felipe",264.0,3
37657,"Edu Dracena",264.0,3
80441,"Bonfim ",264.0,3
63005,"Welinton",264.0,3
77500,"Yago",264.0,3
82749,"Eberson",264.0,3
63418,"Leandro Silva",264.0,3
73991,"Walisson",264.0,3
