"id","rodada","clube_casa_id","clube_visitante_id","placar_oficial_mandante","placar_oficial_visitante"
201226,1,262,292,1.0,0.0
201227,1,263,276,0.0,1.0
201228,1,264,284,0.0,0.0
201229,1,275,293,4.0,0.0
201234,1,282,277,1.0,0.0
201230,1,285,315,0.0,0.0
201231,1,294,283,1.0,0.0
201232,1,316,303,0.0,0.0
201233,1,327,266,0.0,1.0
201235,1,344,287,4.0,1.0
201237,2,266,344,2.0,2.0
201238,2,276,285,1.0,2.0
201239,2,277,294,2.0,1.0
201240,2,283,316,2.0,2.0
201241,2,284,262,1.0,0.0
201236,2,287,264,3.0,2.0
201245,2,292,263,1.0,1.0
201242,2,293,282,1.0,1.0
201244,2,303,275,2.0,1.0
201243,2,315,327,3.0,1.0
201247,3,262,315,2.0,2.0
201246,3,263,293,2.0,1.0
201248,3,264,303,3.0,0.0
201249,3,275,266,2.0,0.0
201250,3,282,284,0.0,3.0
201251,3,285,292,1.0,0.0
201252,3,294,276,1.0,1.0
201566,3,316,277,2.0,2.0
201254,3,327,287,1.0,1.0
201255,3,344,283,4.0,1.0
201257,4,266,263,1.0,0.0
201258,4,276,275,1.0,0.0
201259,4,277,285,0.0,1.0
201260,4,283,327,1.0,1.0
201261,4,284,294,2.0,0.0
201256,4,287,282,1.0,1.0
201265,4,292,264,0.0,2.0
201262,4,293,316,2.0,1.0
201264,4,303,262,1.0,2.0
201263,4,315,344,1.0,1.0
201267,5,262,287,1.0,0.0
201266,5,263,283,0.0,1.0
201268,5,264,277,1.0,0.0
201269,5,275,284,4.0,3.0
201270,5,282,266,1.0,1.0
201271,5,285,293,1.0,0.0
201272,5,294,315,3.0,4.0
201273,5,316,276,1.0,0.0
201274,5,327,303,1.0,2.0
201276,5,344,292,0.0,1.0
201297,6,262,275,1.0,2.0
201298,6,264,294,2.0,1.0
201300,6,277,263,3.0,0.0
201301,6,283,276,0.0,1.0
201303,6,284,303,1.0,0.0
201295,6,287,285,1.0,0.0
201309,6,292,282,4.0,4.0
201304,6,293,344,1.0,0.0
201306,6,315,266,0.0,0.0
201308,6,327,316,1.0,0.0
